iter	Passed	Remaining
0	142	142352
1	143	71716
2	145	48196
3	146	36487
4	147	29448
5	149	24715
6	150	21333
7	151	18804
8	153	16902
9	154	15332
10	156	14030
11	157	12946
12	158	12039
13	160	11271
14	161	10601
15	162	10001
16	163	9469
17	165	9012
18	166	8585
19	167	8204
20	168	7854
21	169	7544
22	170	7257
23	172	6997
24	172	6746
25	173	6514
26	174	6300
27	175	6104
28	176	5918
29	177	5753
30	178	5588
31	179	5433
32	180	5288
33	181	5151
34	182	5022
35	183	4902
36	184	4791
37	185	4685
38	185	4582
39	186	4484
40	187	4389
41	188	4303
42	189	4219
43	190	4137
44	191	4062
45	192	3989
46	193	3916
47	193	3846
48	194	3781
49	195	3720
50	197	3666
51	197	3606
52	198	3549
53	199	3493
54	200	3441
55	201	3390
56	202	3343
57	203	3299
58	203	3253
59	204	3208
60	205	3164
61	206	3122
62	207	3081
63	208	3042
64	208	3006
65	209	2969
66	210	2935
67	211	2900
68	212	2867
69	213	2834
70	214	2804
71	215	2778
72	216	2747
73	217	2717
74	217	2688
75	218	2660
76	219	2633
77	220	2608
78	221	2584
79	222	2557
80	223	2531
81	223	2507
82	224	2478
83	225	2455
84	225	2432
85	226	2411
86	227	2390
87	228	2369
88	229	2348
89	230	2328
90	231	2307
91	231	2288
92	232	2269
93	233	2251
94	234	2233
95	235	2215
96	236	2197
97	236	2180
98	237	2162
99	238	2146
100	239	2133
101	240	2117
102	241	2101
103	242	2086
104	242	2070
105	243	2055
106	244	2041
107	245	2028
108	246	2014
109	247	1999
110	247	1986
111	248	1972
112	249	1958
113	250	1946
114	251	1935
115	252	1924
116	253	1911
117	254	1899
118	254	1887
119	255	1874
120	256	1862
121	257	1850
122	258	1840
123	258	1829
124	259	1818
125	260	1807
126	261	1795
127	261	1784
128	262	1774
129	263	1766
130	264	1756
131	265	1746
132	266	1737
133	267	1727
134	268	1718
135	269	1708
136	269	1700
137	270	1692
138	271	1683
139	272	1674
140	273	1665
141	273	1655
142	274	1647
143	275	1638
144	276	1630
145	277	1623
146	278	1615
147	279	1607
148	280	1599
149	280	1591
150	281	1583
151	282	1576
152	283	1569
153	284	1562
154	285	1554
155	285	1547
156	286	1539
157	287	1532
158	288	1525
159	289	1519
160	289	1510
161	290	1504
162	291	1497
163	292	1490
164	293	1483
165	294	1477
166	294	1471
167	295	1464
168	296	1458
169	297	1451
170	298	1445
171	298	1439
172	299	1433
173	300	1427
174	301	1422
175	302	1416
176	303	1410
177	304	1404
178	304	1398
179	305	1393
180	306	1387
181	307	1382
182	308	1376
183	309	1371
184	309	1365
185	310	1360
186	311	1354
187	312	1349
188	313	1344
189	314	1340
190	315	1334
191	315	1329
192	316	1324
193	317	1319
194	318	1314
195	319	1310
196	320	1305
197	321	1301
198	321	1295
199	322	1291
200	323	1286
201	324	1281
202	325	1276
203	326	1272
204	326	1267
205	327	1263
206	328	1258
207	329	1254
208	330	1249
209	330	1245
210	331	1241
211	332	1237
212	333	1232
213	334	1228
214	335	1224
215	336	1220
216	336	1215
217	337	1211
218	338	1208
219	339	1204
220	340	1200
221	341	1195
222	341	1191
223	342	1187
224	343	1183
225	344	1180
226	345	1176
227	346	1172
228	347	1168
229	347	1164
230	348	1161
231	350	1159
232	351	1157
233	352	1153
234	353	1150
235	354	1146
236	355	1143
237	355	1139
238	357	1137
239	358	1133
240	358	1129
241	359	1126
242	360	1123
243	361	1119
244	362	1116
245	363	1113
246	364	1109
247	364	1106
248	365	1102
249	366	1099
250	367	1096
251	368	1092
252	369	1089
253	370	1086
254	370	1083
255	371	1080
256	372	1076
257	373	1073
258	374	1070
259	375	1067
260	376	1065
261	377	1062
262	378	1059
263	378	1056
264	379	1053
265	380	1050
266	381	1047
267	382	1044
268	383	1041
269	384	1038
270	384	1035
271	385	1032
272	386	1029
273	387	1026
274	388	1024
275	389	1021
276	390	1018
277	391	1015
278	392	1013
279	392	1010
280	393	1007
281	394	1005
282	395	1002
283	396	999
284	397	997
285	398	994
286	399	991
287	400	989
288	401	987
289	402	984
290	402	981
291	403	978
292	404	976
293	405	973
294	406	971
